Time (s),Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Torque_0,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6,Current_0,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Velocity_0,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Tool_X,Tool_Y,Tool_Z,Tool_Roll,Tool_Pitch,Tool_Yaw
26.526670932769775,0.0,0.0,-155.44047043845765,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,6.615764896600126e-18,-4.437380790710449,-1.7762999534606934,-0.06439806520938873,0.6947112083435059,0.0025323613081127405,0.0,0.06750000268220901,-0.4424999952316284,-0.3100000023841858,-0.05000000074505806,0.25999999046325684,-0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.256,-0.255,1013.047,-0.6140388690417034,-24.536688393359455,-179.8163868745034
27.027275800704956,0.0,0.0,-155.44047043845765,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,6.615764896600126e-18,-4.437380790710449,-0.9685033559799194,-0.06439806520938873,0.6947112083435059,0.0025323613081127405,0.0,0.08250000327825546,-0.9399999976158142,-0.11500000208616257,-0.029999999329447746,0.2199999988079071,-0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.256,-0.255,1013.047,-0.6140388690417034,-24.536688393359455,-179.8163868745034
27.527868270874023,0.0,0.0,-168.30079462906656,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.00047454365994781256,-1.4509912729263306,3.5996639728546143,-0.03154822438955307,0.8803801536560059,0.0012216088362038136,0.0,0.11500000208616257,-0.17249999940395355,-0.75,4.795643049337883e-15,0.17000000178813934,-0.029999999329447746,0.0,0.0,0.0,-30.030962082333723,0.0,0.0,0.0,0.0,-10.669,-0.312,1010.637,-0.5879692893632508,-11.676478794309586,-179.8860585423913
28.02799415588379,0.0,0.0,-180.31319857866134,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.0004964845720678568,1.2648135423660278,5.332988739013672,0.0007091176230460405,1.0236116647720337,-4.686465399572626e-05,0.0,0.13249999284744263,0.0925000011920929,-0.44749999046325684,0.019999999552965164,0.14000000059604645,-0.03999999910593033,0.0,0.0,0.0,-30.030962082333723,0.0,0.0,0.0,0.0,-105.005,-0.264,987.527,-0.5781144152870007,0.3357532679466624,-179.94444294171515
28.52859616279602,0.0,0.0,-188.84912381052035,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,7.669311755584415e-18,3.030663251876831,6.49954080581665,0.023834463208913803,1.1077017784118652,-0.0009372559143230319,0.0,0.1599999964237213,0.6324999928474426,0.8125,0.04500000178813934,0.09000000357627869,-0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.092,-0.172,959.387,-0.5785727815231052,8.87156390824664,-179.98523753672848
29.028998374938965,0.0,0.0,-186.91945925229925,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.0004994417540729046,2.727285146713257,8.392050743103027,0.01917550526559353,1.085342526435852,-0.0007730347570031881,0.0,0.1875,0.550000011920929,2.682499885559082,0.07000000029802322,0.05000000074505806,-0.05000000074505806,0.0,0.0,0.0,30.03569198833396,0.0,0.0,0.0,0.0,-154.209,-0.197,966.566,-0.5779425279484615,6.941956645805054,-179.97595562044737
29.529650449752808,0.0,0.0,-168.89804583471093,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.0004769138467963785,-1.2573593854904175,3.2207260131835938,-0.029328128322958946,0.8917088508605957,0.0011343007208779454,0.0,0.20999999344348907,-0.1574999988079071,1.7799999713897705,0.0925000011920929,0.009999999776482582,-0.05999999865889549,0.0,0.0,0.0,30.03569198833396,0.0,0.0,0.0,0.0,-15.459,-0.312,1009.959,-0.5871671484500677,-11.079284884444728,-179.8890952187055
30.029993295669556,0.0,0.0,-161.92239927055218,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,1.5981009493335674e-18,-2.932835340499878,1.7762999534606934,-0.04807785525918007,0.7984806895256042,0.0018905923934653401,0.0,0.23250000178813934,-0.9599999785423279,0.3100000023841858,0.11999999731779099,-4.2240516640035253e-16,-0.07000000029802322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.807,-0.297,1014.751,-0.5986263043526842,-18.05481685704445,-179.85294158183274
30.53074073791504,0.0,0.0,-157.34698750175548,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.0004379029560368508,-3.951399564743042,-0.6774498820304871,-0.059186723083257675,0.719550371170044,0.0023084308486431837,0.0,0.25999999046325684,0.027499999850988388,1.100000023841858,0.15000000596046448,-0.009999999776482582,-0.07999999821186066,0.0,0.0,0.0,30.048481517554805,0.0,0.0,0.0,0.0,77.854,-0.27,1014.165,-0.6089968404445519,-22.630114034282123,-179.82750225572894
31.030999183654785,0.0,0.0,-145.3275934670601,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-0.0003780870174523443,-6.7324042320251465,-4.588174819946289,-0.08768663555383682,0.5092179179191589,0.0034291488118469715,0.0,0.2800000011920929,-1.0399999618530273,0.41749998927116394,0.17000000178813934,-0.009999999776482582,-0.07999999821186066,0.0,0.0,0.0,30.048481517554805,0.0,0.0,0.0,0.0,173.784,-0.133,998.62,-0.6503070974734844,-34.649336181638965,-179.75015295338628
